title,type,address,assignee,annote,author,booktitle,chapter,day,dayfiled,edition,editor,howpublished,institution,journal,language,month,monthfiled,nationality,note,number,organization,pages,publisher,revision,school,series,rtitle, ,volume,year,yearfiled,url,custom1,custom2,custom3,custom4,custom5,isbn
Finnemann2016,7,,,,"Finnemann, Niels Ole",,,,,,,,,Journal of the Association for Information Science and Technology,,,,,,,,,,,,,Hypertext configurations: Genres in networked digital media,,,2016,,http://onlinelibrary.wiley.com/doi/10.1002/asi.23709/full,bibtex,,,,,
Fitzpatrick2016,10,,,,"Fitzpatrick, Philip J.",,,,,,,,,,,,,,,,,,,,,,Applied Hypertext Theory in a Demonstration of a Non-Sequential Audio Narrative,,,2016,,https://suny-dspace.longsight.com/handle/1951/66527,bibtex,,,,,
Flinn2010,7,,,,"Flinn, Andrew",,,,,,,,,Convergence: The International Journal of Research into New Media Technologies,,,,,,1,,39--51,,,,,"Independent Community Archives and Community-Generated Content ‘Writing, Saving and Sharing our Histories’",,16,2010,,http://con.sagepub.com/content/16/1/39.short,bibtex,,,,,
Frumkin2005,7,,,,"Frumkin, Jeremy",,,,,,,,,{OCLC} Systems \& Services: International digital library perspectives,,,,,,1,,18--22,,,,,The wiki and the digital library,,21,2005,,http://www.emeraldinsight.com/doi/full/10.1108/10650750510578109,bibtex,,,,,
Giles2007,7,,,,"Giles, Jim",,,,,,,,,Nature,,,,,,7129,,691--691,,,,,Key biology databases go wiki,,445,2007,,http://www.nature.com/nature/journal/v445/n7129/full/445691a.html,bibtex,,,,,
Gobbo2006,7,,,,"Gobbo, Federico and Lanzarone, Gaetano Aurelio",,,,,,,,,Current Developments in Technology-Assisted Education,,,,,,,,,,,,,A wiki-based active learning system; how to enhance learning material in epistemology of computer science and computer ethics,,,2006,,https://www.researchgate.net/profile/Federico_Gobbo/publication/216111828_A_wiki-based_active_learning_system_how_to_enhance_learning_material_in_epistemology_of_computer_science_and_computer_ethics/links/09e4150a67b1073482000000.pdf,bibtex,,,,,
Gobbo2006a,7,,,,"Gobbo, Federico and Lanzarone, Gaetano Aurelio",,,,,,,,,Current Developments in Technology-Assisted Education,,,,,,,,,,,,,A wiki-based active learning system; how to enhance learning material in epistemology of computer science and computer ethics,,,2006,,https://www.researchgate.net/profile/Federico_Gobbo/publication/216111828_A_wiki-based_active_learning_system_how_to_enhance_learning_material_in_epistemology_of_computer_science_and_computer_ethics/links/09e4150a67b1073482000000.pdf,bibtex,,,,,
Gobbo2006b,7,,,,"Gobbo, Federico and Lanzarone, Gaetano Aurelio",,,,,,,,,Current Developments in Technology-Assisted Education,,,,,,,,,,,,,A wiki-based active learning system; how to enhance learning material in epistemology of computer science and computer ethics,,,2006,,https://www.researchgate.net/profile/Federico_Gobbo/publication/216111828_A_wiki-based_active_learning_system_how_to_enhance_learning_material_in_epistemology_of_computer_science_and_computer_ethics/links/09e4150a67b1073482000000.pdf,bibtex,,,,,
Grannum2011,7,,,,"Grannum, Guy and Theimer, Kate",,,,,,,,,A Different Kind of Web: New Connections Between Archives and Our Users,,,,,,,,116--127,,,,,Harnessing User Knowledge: The National Archives Your Archives Wiki,,,2011,,,bibtex,,,,,
Haddad2002,7,,,,"Haddad, Wadi D. and Draxler, Alexandra",,,,,,,,,,,,,,,,,,,,,,"Technologies for Education: Potential, Parameters, and Prospects",,,2002,,http://ictlogy.net/bibliography/reports/projects.php?idp=515,bibtex,,,,,
